pack_combo,mass,series,parallel,mass_kg,batt_mass,accel_time,skidpad_time,endur_time,energy_wh,final_soc,pack_energy_kwh,final_energy_kwh,total_points,score_breakdown
[100   2],200,100,2,200,14.399999999999999,3.6263688434969197,4.496213348185748,1624.3641836393742,3110.732621558181,0.040649821275576814,3.6,3.139909713253027,470.3834711258976,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=38.80606863709853, endurance=148.82383896115903, efficiency=107.75356352764001)"
[100   2],205,100,2,205,14.399999999999999,3.6441452916822072,4.376067036852291,1631.9450407277677,3118.003804768382,0.03757428481509258,3.6,3.147078855729022,464.6523859103907,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=37.43273804072223, endurance=145.66792502404894, efficiency=106.55172284561951)"
[100   2],210,100,2,210,14.399999999999999,3.6511095024580413,4.4288669578696584,1625.7526726981216,3119.8969276066546,0.036995746640073816,3.6,3.1484359916270948,468.8970886711346,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=38.55357508019768, endurance=148.2436087257326, efficiency=107.09990486520431)"
[100   2],215,100,2,215,14.399999999999999,3.637075262504169,4.481046804910079,1633.567045610634,3124.817847885049,0.03493005502061285,3.6,3.153627596360115,463.14545634472415,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=37.14055474410573, endurance=144.99648776020592, efficiency=106.00841384041252)"
[100   2],220,100,2,220,14.399999999999999,3.6619219016776015,4.532621511412529,1642.7595278727038,3133.7464546140895,0.03185933363657593,3.6,3.16253151012842,456.2807802611818,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=35.49554845693298, endurance=141.21626304081147, efficiency=104.56896876343737)"
[100   2],225,100,2,225,14.399999999999999,3.6815379399303936,4.422192708426152,1649.6975182465026,3142.754799833351,0.028324119206517118,3.6,3.1712085178047404,451.0306592710914,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=34.26612612622593, endurance=138.39105032195806, efficiency=103.37348282290739)"
[100   2],230,100,2,230,14.399999999999999,3.692103880388501,4.470852429020283,1644.003584589566,3145.1149639075124,0.027660077170684756,3.6,3.1727790540297836,454.8114637713524,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=35.274336220942175, endurance=140.70791728599846, efficiency=103.82921026441176)"
[100   2],235,100,2,235,14.399999999999999,3.680992183321891,4.518984356243578,1651.4774716287357,3153.470475556311,0.02449779870972463,3.6,3.1812594630169597,449.2439810942953,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=33.952380721682076, endurance=137.67006333053962, efficiency=102.62153704207363)"
[100   2],240,100,2,240,14.399999999999999,3.707720844568186,4.56660959939957,1660.6515808900842,3159.2842529588206,0.022252760481085376,3.6,3.1871865288347463,442.7149809579377,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=32.34596313049165, endurance=133.9785154408808, efficiency=101.39050238656529)"
[100   2],245,100,2,245,14.399999999999999,3.7300323602843406,4.464215027810155,1667.5337325094804,3166.188792860716,0.019381088420481703,3.6,3.194120953164677,437.7322815484009,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=31.15247857023677, endurance=131.235887724457, efficiency=100.34391525370708)"
[100   2],250,100,2,250,14.399999999999999,3.744515743492414,4.509360168975846,1662.7808229780283,3171.7347296000576,0.017791443210019107,3.6,3.1984708902014893,440.6295566736525,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=31.975660129348093, endurance=133.12755908314261, efficiency=100.52633746116179)"
[100   2],255,100,2,255,14.399999999999999,3.736249422103384,4.554058482861819,1673.155123118728,3179.489405848582,0.014872636828822564,3.6,3.206338226596771,433.2981680873697,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=30.18491691605272, endurance=129.0124308834678, efficiency=99.10082028784916)"
[100   2],260,100,2,260,14.399999999999999,3.7685683556247653,4.5983204147764525,1681.7377114503192,3189.3652867049927,0.011400092538119235,3.6,3.2161870621437676,427.12626287262475,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=28.720146596179347, endurance=125.6463884466713, efficiency=97.75972782977412)"
[100   2],265,100,2,265,14.399999999999999,3.800431217339053,4.642160207225828,1685.5751220870472,3196.1287781360384,0.009161375886741327,3.6,3.2224518043150443,424.2690963884912,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=28.07005040830997, endurance=124.15246729966367, efficiency=97.04657868051757)"
[100   2],270,100,2,270,14.399999999999999,3.82946872142071,4.545210326813304,1698.7535854942487,3205.6598645628424,0.005420474292635967,3.6,3.232009202265364,414.61361264922454,"ScoreBreakdown(accel=99.36641637168582, skidpad=75.0, autocross=25.859848264050964, endurance=119.0734224074121, efficiency=95.31392560607564)"
