pack_combo,mass,series,parallel,mass_kg,batt_mass,accel_time,skidpad_time,endur_time,energy_wh,final_soc,pack_energy_kwh,final_energy_kwh,total_points,score_breakdown
[100   2],200,100,2,200,14.399999999999999,3.6253038322989397,4.411893476136811,1722.5492958028044,3161.980897580004,0.0,3.6,3.1954255230053725,402.3372556079329,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=21.95465665537761, endurance=110.09929144621627, efficiency=95.28330750633901)"
[100   2],205,100,2,205,14.399999999999999,3.63304424605127,4.42563881461237,1725.0205457465381,3160.6920068988175,0.0,3.6,3.1939227689395433,400.8559582028788,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=21.555267322727655, endurance=109.18149469387633, efficiency=95.11919618627485)"
[100   2],210,100,2,210,14.399999999999999,3.6413066374271352,4.43876149137175,1727.6371601691792,3159.445774716512,0.0,3.6,3.192673057307057,399.2862155451403,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=21.13363039318616, endurance=108.21257296020822, efficiency=94.94001219174591)"
[100   2],215,100,2,215,14.399999999999999,3.6502306563926226,4.451909490984619,1730.6862677779104,3158.8072899057756,0.0,3.6,3.1917364395181185,397.4219775565464,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=20.64391067918929, endurance=107.08719697662633, efficiency=94.6908699007308)"
[100   2],220,100,2,220,14.399999999999999,3.659836849872832,4.464692498941417,1734.2009986802668,3158.1951618678577,0.0,3.6,3.1908165576783847,395.2749627445432,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=20.0815434305407, endurance=105.79487694642569, efficiency=94.39854236757681)"
[100   2],225,100,2,225,14.399999999999999,3.6701055085420506,4.476935933773376,1738.6509378440066,3157.9431531784057,0.0,3.6,3.1903258492469537,392.54283597585294,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=19.372801768650906, endurance=104.16618849044106, efficiency=94.00384571676096)"
[100   2],230,100,2,230,14.399999999999999,3.6811818926376247,4.4886810058795845,1746.362505047384,3157.7686796073144,0.0,3.6,3.1897897585126147,387.82801667892556,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=18.1531339352727, endurance=101.36339160805898, efficiency=93.31149113559388)"
[100   2],235,100,2,235,14.399999999999999,3.69325466831323,4.500279849860846,1748.838422695723,3157.7492324303403,0.0,3.6,3.1894880468934943,386.3212413723162,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=17.76382189904966, endurance=100.46875248457134, efficiency=93.08866698869518)"
[100   2],240,100,2,240,14.399999999999999,3.706403470020561,4.511733862737842,1754.2505322985392,3157.6082526735267,0.0,3.6,3.188961362389621,383.0472980949831,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=16.916651056928327, endurance=98.52195374956993, efficiency=92.60869328848486)"
[100   2],245,100,2,245,14.399999999999999,3.72069539565949,4.522747919369422,1760.547786633556,3157.93773618003,0.0,3.6,3.188606024601734,379.2387343709454,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=15.937482363524914, endurance=96.2718239305389, efficiency=92.02942807688159)"
[100   2],250,100,2,250,14.399999999999999,3.736347465548562,4.533349610791845,1762.899966814623,3158.3540325576732,0.0,3.6,3.1885535700266465,377.80858529726055,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=15.573533121518281, endurance=95.435468512346, efficiency=91.79958366339626)"
[100   2],255,100,2,255,14.399999999999999,3.753710765628057,4.543751833798964,1763.0295603232732,3158.558351092473,0.0,3.6,3.1886389212912984,377.7209121254391,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=15.553509542561445, endurance=95.38945432459877, efficiency=91.77794825827891)"
[100   2],260,100,2,260,14.399999999999999,3.7731330596000134,4.554205599096264,1765.871264578416,3159.188053051544,0.0,3.6,3.188994465217273,375.9922172848402,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=15.115174729615676, endurance=94.38216085211207, efficiency=91.4948817031125)"
[100   2],265,100,2,265,14.399999999999999,3.7952596185436107,4.564290460655897,1779.6046797005624,3159.6890221465665,0.0,3.6,3.189124488248554,367.84038577723896,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=13.016516642413293, endurance=89.55944422138434, efficiency=90.26442491344129)"
[100   2],270,100,2,270,14.399999999999999,3.821174457418792,4.5740298978115845,1781.546231097467,3160.074219666223,0.0,3.6,3.188781123408209,366.66958131573386,"ScoreBreakdown(accel=99.98691971511879, skidpad=75.0, autocross=12.722430895981578, endurance=88.88363512755205, efficiency=90.07659557708145)"
[100   2],275,100,2,275,14.399999999999999,3.849749874109179,4.583512153122953,1782.8568907920621,3160.3108944673163,0.0,3.6,3.1886207138502245,363.76412464336727,"ScoreBreakdown(accel=97.86042231271307, skidpad=75.0, autocross=12.524268117215723, endurance=88.42825702924586, efficiency=89.95117718419257)"
[100   2],280,100,2,280,14.399999999999999,3.8782795667071923,4.593257496777142,1782.5069918584136,3160.5583045544813,0.0,3.6,3.1886282902752754,361.8649253839764,"ScoreBreakdown(accel=95.76858873133177, skidpad=75.0, autocross=12.577141928060865, endurance=88.54976105529363, efficiency=89.96943366929013)"
[100   2],285,100,2,285,14.399999999999999,3.906724326227902,4.602689228761392,1786.584841965861,3160.7421534075556,0.0,3.6,3.188492733591704,357.41955477838576,"ScoreBreakdown(accel=93.71339838354871, skidpad=75.0, autocross=11.962217011154468, endurance=87.13666349476313, efficiency=89.60727588891942)"
[100   2],290,100,2,290,14.399999999999999,3.935079819301123,4.6118214268334015,1778.267557407334,3161.1032760751636,0.0,3.6,3.18846186871599,360.2509608537707,"ScoreBreakdown(accel=91.69422991893049, skidpad=75.0, autocross=13.219423257182164, endurance=90.02572365560857, efficiency=90.31158402204949)"
[100   2],295,100,2,295,14.399999999999999,3.9633417441227863,4.620667299055384,1783.233448538464,3161.492303632911,0.0,3.6,3.188590835679088,355.33611484430935,"ScoreBreakdown(accel=89.7104735538761, skidpad=75.0, autocross=12.467389029701117, endurance=88.29754887675054, efficiency=89.86070338398157)"
[100   2],300,100,2,300,14.399999999999999,3.9915058253446176,4.62980857849513,1788.5213130084503,3162.0981251095045,0.0,3.6,3.1887349544125176,350.27460007363584,"ScoreBreakdown(accel=87.76153133710751, skidpad=75.0, autocross=11.671186204961032, endurance=86.46787465410247, efficiency=89.37400787746478)"
[104   2],200,104,2,200,14.975999999999999,3.6253038322989397,4.411893476136811,1678.3722055017233,3295.329685651867,0.0,3.744,3.330769114994456,424.1039841333634,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=29.292744219158802, endurance=126.96221787877245, efficiency=92.84902203543214)"
[104   2],205,104,2,205,14.975999999999999,3.63304424605127,4.42563881461237,1676.8018065237661,3294.7039205036067,0.0,3.744,3.3299287024013084,425.1653241779044,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=29.560713932697453, endurance=127.57801232470678, efficiency=93.02659792050012)"
[104   2],210,104,2,210,14.975999999999999,3.6413066374271352,4.43876149137175,1681.6685853439653,3294.1017300816907,0.0,3.744,3.3292032934070646,422.0039558516788,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=28.731884462008193, endurance=125.67336206428303, efficiency=92.59870932538766)"
[104   2],215,104,2,215,14.975999999999999,3.6502306563926226,4.451909490984619,1687.1128847007874,3293.2630563685407,0.0,3.744,3.3282372923352126,418.49692900983484,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=27.810367860675562, endurance=123.55571676234497, efficiency=92.1308443868143)"
[104   2],220,104,2,220,14.975999999999999,3.659836849872832,4.464692498941417,1691.9720335235277,3292.257808870176,0.0,3.744,3.327141610672394,415.39811539300035,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=26.99290393210407, endurance=121.67718451958353, efficiency=91.72802694131275)"
[104   2],225,104,2,225,14.975999999999999,3.6701055085420506,4.476935933773376,1697.2537027015326,3291.573240735073,0.0,3.744,3.3262552087300064,412.03065869533015,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=26.10966750911798, endurance=119.64750707380313, efficiency=91.27348411240907)"
[104   2],230,104,2,230,14.975999999999999,3.6811818926376247,4.4886810058795845,1702.5397540732627,3291.0688483588124,0.0,3.744,3.32541140431544,408.67279605036344,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=25.231185092395346, endurance=117.62875433520065, efficiency=90.81285662276744)"
[104   2],235,104,2,235,14.975999999999999,3.69325466831323,4.500279849860846,1708.067817787081,3291.03909811919,0.0,3.744,3.3249209583576107,405.1599830535173,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=24.318299425311515, endurance=115.53094292159071, efficiency=90.31074070661508)"
[104   2],240,104,2,240,14.975999999999999,3.706403470020561,4.511733862737842,1701.1330372204727,3290.8420720443405,0.0,3.744,3.3244845158486953,409.58142766029016,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=25.464432523937717, endurance=118.16475697137722, efficiency=90.95223816497526)"
[104   2],245,104,2,245,14.975999999999999,3.72069539565949,4.522747919369422,1698.1231333747164,3291.19762504159,0.0,3.744,3.324164073732554,411.4908008510647,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=25.964802087488444, endurance=119.31460631099182, efficiency=91.21139245258442)"
[104   2],250,104,2,250,14.975999999999999,3.736347465548562,4.533349610791845,1700.8903377741012,3291.4984233363075,0.0,3.744,3.3240305870942004,409.7054378587751,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=25.5047134932418, endurance=118.25732264548544, efficiency=90.94340172004785)"
[104   2],255,104,2,255,14.975999999999999,3.753710765628057,4.543751833798964,1707.173213913115,3291.8532049486553,0.0,3.744,3.324244645774702,405.68877221569426,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=24.465630309950473, endurance=115.86950931880476, efficiency=90.35363258693899)"
[104   2],260,104,2,260,14.975999999999999,3.7731330596000134,4.554205599096264,1714.1811758072563,3292.412362329465,0.0,3.744,3.3244897711101484,401.23563052192645,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=23.315616270655497, endurance=113.22677686672073, efficiency=89.69323738455024)"
[104   2],265,104,2,265,14.975999999999999,3.7952596185436107,4.564290460655897,1720.5982020579127,3293.207276237539,0.0,3.744,3.3247707100773396,397.17659943978623,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=22.270791766275273, endurance=110.82576998323013, efficiency=89.08003769028083)"
[104   2],270,104,2,270,14.975999999999999,3.821174457418792,4.5740298978115845,1726.4588132704787,3292.4510670816885,0.00045724185422460473,3.744,3.3230809779740147,393.5518291675867,"ScoreBreakdown(accel=99.98691971511879, skidpad=75.0, autocross=21.32334908623033, endurance=108.64854654813267, efficiency=88.59301381810485)"
[104   2],275,104,2,275,14.975999999999999,3.849749874109179,4.583512153122953,1732.631693066939,3290.650916394486,0.0012413881487124715,3.744,3.3207008375523666,387.6942582116878,"ScoreBreakdown(accel=97.86042231271307, skidpad=75.0, autocross=20.332354997856648, endurance=106.37124196950859, efficiency=88.1302389316095)"
[104   2],280,104,2,280,14.975999999999999,3.8782795667071923,4.593257496777142,1738.6885345647484,3288.2899268946385,0.00215259990976954,3.744,3.3180705359818625,381.9948964150576,"ScoreBreakdown(accel=95.76858873133177, skidpad=75.0, autocross=19.366829195230125, endurance=104.15246351573442, efficiency=87.70701497276126)"
[104   2],285,104,2,285,14.975999999999999,3.906724326227902,4.602689228761392,1744.7399243924208,3285.37479205066,0.0032467015153676525,3.744,3.3148233091768233,376.3863395534501,"ScoreBreakdown(accel=93.71339838354871, skidpad=75.0, autocross=18.408867019572988, endurance=101.95106627798414, efficiency=87.31300787234424)"
[104   2],290,104,2,290,14.975999999999999,3.935079819301123,4.6118214268334015,1751.1457613071113,3282.150056083453,0.004545316003853071,3.744,3.311111163989695,370.6391083946377,"ScoreBreakdown(accel=91.69422991893049, skidpad=75.0, autocross=17.40200814667982, endurance=99.6373044219162, efficiency=86.90556590711114)"
[104   2],295,104,2,295,14.975999999999999,3.9633417441227863,4.620667299055384,1757.73689384177,3279.625208573583,0.005559770816257622,3.744,3.30834056818575,364.81153848976544,"ScoreBreakdown(accel=89.7104735538761, skidpad=75.0, autocross=16.373685029770314, endurance=97.27421772955644, efficiency=86.45316217656256)"
[104   2],300,104,2,300,14.975999999999999,3.9915058253446176,4.62980857849513,1764.936780783315,3275.979847127288,0.006984132613879356,3.744,3.3043153149588513,358.73760837583234,"ScoreBreakdown(accel=87.76153133710751, skidpad=75.0, autocross=15.25916372494606, endurance=94.7130475871435, efficiency=86.00386572663525)"
[108   2],200,108,2,200,15.552,3.6253038322989397,4.411893476136811,1697.2711792956757,3427.555166684927,0.0,3.888,3.464870927496698,405.8289815465261,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=26.10675407957782, endurance=119.6408120122391, efficiency=85.0814154547092)"
[108   2],205,108,2,205,15.552,3.63304424605127,4.42563881461237,1664.7655344000962,3427.2347958653286,0.0,3.888,3.464164048897716,426.9892105737933,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=31.631345872308888, endurance=132.33632486364525, efficiency=88.02153983783914)"
[108   2],210,108,2,210,15.552,3.6413066374271352,4.43876149137175,1669.6627343693876,3426.8014608913845,0.0,3.888,3.4636986905973437,423.7699713429179,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=30.785265290243927, endurance=130.3920315464332, efficiency=87.59267450624084)"
[108   2],215,108,2,215,15.552,3.6502306563926226,4.451909490984619,1657.1122434111705,3426.45324902353,0.0,3.888,3.463205894200633,432.1236496394656,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=32.96360573507073, endurance=135.39785824813157, efficiency=88.76218565626334)"
[108   2],220,108,2,220,15.552,3.659836849872832,4.464692498941417,1654.9969136360037,3426.217650875055,0.0,3.888,3.462722202159373,433.552039775303,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=33.334008899519404, endurance=136.24904478116144, efficiency=88.96898609462217)"
[108   2],225,108,2,225,15.552,3.6701055085420506,4.476935933773376,1657.1217544509818,3425.8385576290175,0.0,3.888,3.4623160510957995,432.14482980952516,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=32.96194244737492, endurance=135.39403601273202, efficiency=88.78885134941824)"
[108   2],230,108,2,230,15.552,3.6811818926376247,4.4886810058795845,1662.5604435783594,3425.591115501848,0.0,3.888,3.4617886274757965,428.52706733626144,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=32.013942979661344, endurance=133.21553307948022, efficiency=88.29759127711984)"
[108   2],235,108,2,235,15.552,3.69325466831323,4.500279849860846,1668.9370510547672,3425.6837955716605,0.0,3.888,3.4613628922417883,424.2984021394348,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=30.910326938233396, endurance=130.6794232341517, efficiency=87.7086519670497)"
[108   2],240,108,2,240,15.552,3.706403470020561,4.511733862737842,1675.390566277964,3424.9800536377975,7.237659238933286e-05,3.888,3.460438770238888,420.08687638108637,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=29.80195368526326, endurance=128.13238131591424, efficiency=87.15254137990887)"
[108   2],245,108,2,245,15.552,3.72069539565949,4.522747919369422,1683.3232184452509,3421.5414158732706,0.001140640508003153,3.888,3.4564479366466414,415.06809318763214,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=28.451186342501234, endurance=125.02831773933303, efficiency=86.58858910579782)"
[108   2],250,108,2,250,15.552,3.736347465548562,4.533349610791845,1692.190613071758,3416.290026865793,0.002985485819281809,3.888,3.450572985183175,409.57608312819764,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=26.95624221666953, endurance=121.59293589146488, efficiency=86.02690502006324)"
[108   2],255,108,2,255,15.552,3.753710765628057,4.543751833798964,1701.5362602111957,3409.6767964814817,0.005218254202274949,3.888,3.4438448313587364,403.89810768249487,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=25.397534772720075, endurance=118.01102592803923, efficiency=85.48954698173561)"
[108   2],260,108,2,260,15.552,3.7731330596000134,4.554205599096264,1710.7112393052917,3404.803392390368,0.0070128527740167534,3.888,3.4385278188762,398.3140631238873,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=23.88385890791827, endurance=114.53259854092629, efficiency=84.8976056750428)"
[108   2],265,108,2,265,15.552,3.7952596185436107,4.564290460655897,1718.5812058840283,3401.6835644837583,0.00824520240501884,3.888,3.4349431137906903,393.52576494745995,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=22.59835961731068, endurance=111.5785209589672, efficiency=84.3488843711821)"
[108   2],270,108,2,270,15.552,3.821174457418792,4.5740298978115845,1725.1372132648114,3399.104820206798,0.009251893238691909,3.888,3.4315713839149105,389.55649730778356,"ScoreBreakdown(accel=99.98691971511879, skidpad=75.0, autocross=21.536440468316037, endurance=109.13823057933159, efficiency=83.89490654501714)"
[108   2],275,108,2,275,15.552,3.849749874109179,4.583512153122953,1732.1040351901765,3395.8312649999652,0.010480453048550133,3.888,3.4277714683073666,383.2821852969827,"ScoreBreakdown(accel=97.86042231271307, skidpad=75.0, autocross=20.41678910553444, endurance=106.565271562886, efficiency=83.43970231584913)"
[108   2],280,108,2,280,15.552,3.8782795667071923,4.593257496777142,1738.675011407696,3391.7311762674367,0.011984434059963819,3.888,3.423268510808757,377.353039269754,"ScoreBreakdown(accel=95.76858873133177, skidpad=75.0, autocross=19.368977439238527, endurance=104.15740018082016, efficiency=83.05807291836351)"
[108   2],285,108,2,285,15.552,3.906724326227902,4.602689228761392,1745.4230980962204,3387.0613981373713,0.013649792589684124,3.888,3.418214446703705,371.40761421099484,"ScoreBreakdown(accel=93.71339838354871, skidpad=75.0, autocross=18.30113484067484, endurance=101.70349771309735, efficiency=82.68958327367393)"
[108   2],290,108,2,290,15.552,3.935079819301123,4.6118214268334015,1752.749887069886,3381.9385701042975,0.015556861587233675,3.888,3.412569430864547,365.2014291026183,"ScoreBreakdown(accel=91.69422991893049, skidpad=75.0, autocross=17.15102654367045, endurance=99.06054865678162, efficiency=82.29562398323577)"
[108   2],295,108,2,295,15.552,3.9633417441227863,4.620667299055384,1760.4531400641338,3377.288368507271,0.017300570060897566,3.888,3.4075478310452536,358.82187553992435,"ScoreBreakdown(accel=89.7104735538761, skidpad=75.0, autocross=15.95214723665138, endurance=96.30552381140367, efficiency=81.8537309379932)"
[108   2],300,108,2,300,15.552,3.9915058253446176,4.62980857849513,1768.5634407401797,3372.080359352543,0.01925410943432321,3.888,3.401804525723282,352.30036453387606,"ScoreBreakdown(accel=87.76153133710751, skidpad=75.0, autocross=14.701204117214072, endurance=93.43085631649667, efficiency=81.40677276305782)"
[112   2],200,112,2,200,16.128,3.6253038322989397,4.411893476136811,1747.967395056553,3559.789667424259,0.0,4.032,3.598583351296823,369.0144389497549,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=17.900656094310612, endurance=100.78319748786225, efficiency=75.33058536758196)"
[112   2],205,112,2,205,16.128,3.63304424605127,4.42563881461237,1687.8214986792127,3559.307992492518,0.0,4.032,3.5978864817791174,406.3145037453366,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=27.690863217741114, endurance=123.28109507316003, efficiency=80.34254545443544)"
[112   2],210,112,2,210,16.128,3.6413066374271352,4.43876149137175,1658.2945298359855,3558.9933363900677,0.0,4.032,3.5974089639897824,425.6193861942107,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=32.75699407420521, endurance=134.9230646173661, efficiency=82.93932750263942)"
[112   2],215,112,2,215,16.128,3.6502306563926226,4.451909490984619,1663.077800035718,3558.8202773525068,0.0,4.032,3.5970905507193067,422.4548017601528,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=31.924087289453844, endurance=133.00904468855475, efficiency=82.52166978214424)"
[112   2],220,112,2,220,16.128,3.659836849872832,4.464692498941417,1643.3536025151698,3558.874274634028,0.0,4.032,3.596734503013713,435.6504864320875,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=35.38987115433285, endurance=140.97341658199662, efficiency=84.28719869575806)"
[112   2],225,112,2,225,16.128,3.6701055085420506,4.476935933773376,1644.8092122590615,3559.134828240964,0.0,4.032,3.596693970126101,434.6547842682813,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=35.131261863557185, endurance=140.37913238911662, efficiency=84.14439001560748)"
[112   2],230,112,2,230,16.128,3.6811818926376247,4.4886810058795845,1650.878416687071,3559.5305936152777,0.0,4.032,3.5966682918614525,430.55089377599256,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=34.05789825538373, endurance=137.91254264039935, efficiency=83.58045288020944)"
[112   2],235,112,2,235,16.128,3.69325466831323,4.500279849860846,1658.7055583073623,3554.7419908743273,0.0014426490862593654,4.032,3.5919099398407486,425.52272321108376,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=32.68523337562698, endurance=134.75815852019073, efficiency=83.079331315266)"
[112   2],240,112,2,240,16.128,3.706403470020561,4.511733862737842,1666.281742532262,3549.248051072425,0.0031648844026341025,4.032,3.586172987372526,420.73692776254654,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=31.368861754953432, endurance=131.73313631864522, efficiency=82.63492968894788)"
[112   2],245,112,2,245,16.128,3.72069539565949,4.522747919369422,1674.947007868192,3543.3791259716836,0.005163088996623245,4.032,3.579725614294192,415.29991520223984,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=29.877860261111547, endurance=128.30681463974003, efficiency=82.11524030138824)"
