pack_combo,mass,series,parallel,mass_kg,batt_mass,accel_time,skidpad_time,endur_time,energy_wh,final_soc,pack_energy_kwh,final_energy_kwh,total_points,score_breakdown
[100   2],200,100,2,200,14.399999999999999,3.6253038322989397,4.411893476136811,1680.99857623507,3049.009155408157,0.03771558359190242,3.6,3.082625904146054,435.09664816439806,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=28.845704485303568, endurance=125.93492049659925, efficiency=105.31602318249529)"
[100   2],205,100,2,205,14.399999999999999,3.63304424605127,4.42563881461237,1684.83172548407,3053.194223213689,0.036133464704276495,3.6,3.086414455500089,432.33357301813373,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=28.195758040975484, endurance=124.44134346027417, efficiency=104.6964715168841)"
[100   2],210,100,2,210,14.399999999999999,3.6413066374271352,4.43876149137175,1688.4654555332665,3057.388276564085,0.03452846331817661,3.6,3.0903668193826306,429.71389405738097,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=27.58234971163839, endurance=123.03173101822821, efficiency=104.09981332751437)"
[100   2],215,100,2,215,14.399999999999999,3.6502306563926226,4.451909490984619,1692.6640643345909,3062.0083121834627,0.03292311038338328,3.6,3.094630820434321,426.71418337973716,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=26.876864072031136, endurance=121.4105249019862, efficiency=103.4267944057198)"
[100   2],220,100,2,220,14.399999999999999,3.659836849872832,4.464692498941417,1696.9730413615025,3064.8594424019952,0.03193043087928942,3.6,3.0970465021874367,423.75516213276995,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=26.156463280077844, endurance=119.75504376319142, efficiency=102.8436550895007)"
[100   2],225,100,2,225,14.399999999999999,3.6701055085420506,4.476935933773376,1701.9548869746777,3067.054372315046,0.031253489513116454,3.6,3.0987942364499115,420.41306026263385,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=25.328114956851707, endurance=117.85149917971766, efficiency=102.23344612606448)"
[100   2],230,100,2,230,14.399999999999999,3.6811818926376247,4.4886810058795845,1707.435340662532,3068.751861395664,0.03070559587105526,3.6,3.100194900931872,416.7980584004904,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=24.422445082845137, endurance=115.77026965978983, efficiency=101.6053436578554)"
[100   2],235,100,2,235,14.399999999999999,3.69325466831323,4.500279849860846,1713.6020983630574,3069.112174718716,0.030646187800548303,3.6,3.100078578498635,412.84178181787183,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=23.41028698673752, endurance=113.44433018790048, efficiency=100.98716464323383)"
[100   2],240,100,2,240,14.399999999999999,3.706403470020561,4.511733862737842,1719.26382414709,3069.065862311305,0.03077734011309344,3.6,3.0994298409751724,409.25479967462843,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=22.487413772811813, endurance=111.32356738999968, efficiency=100.44381851181697)"
[100   2],245,100,2,245,14.399999999999999,3.72069539565949,4.522747919369422,1725.6135069970387,3068.934050262324,0.030886273151148575,3.6,3.0988155216220266,405.2642485082309,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=21.459606473933377, endurance=108.9616660475605, efficiency=99.84297598673704)"
[100   2],250,100,2,250,14.399999999999999,3.736347465548562,4.533349610791845,1732.3987972621883,3067.7753134064465,0.03140447619302953,3.6,3.0971226620227883,401.0866710927528,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=20.369615890749927, endurance=106.45686750752643, efficiency=99.26018769447651)"
[100   2],255,100,2,255,14.399999999999999,3.753710765628057,4.543751833798964,1739.6088941039313,3065.9532591792945,0.03209895947470093,3.6,3.0951050315785245,396.71479982287633,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=19.220702410543858, endurance=103.8166641404104, efficiency=98.6774332719221)"
[100   2],260,100,2,260,14.399999999999999,3.7731330596000134,4.554205599096264,1747.3521265626073,3064.9151668624313,0.03268133672524024,3.6,3.09365019280824,392.011162427833,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=17.99739399009091, endurance=101.00550118832972, efficiency=98.00826724941241)"
[100   2],265,100,2,265,14.399999999999999,3.7952596185436107,4.564290460655897,1753.936727922129,3065.3928498650116,0.03275841518541912,3.6,3.0937422251918787,387.9720514199521,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=16.965628846022096, endurance=98.6345047169899, efficiency=97.3719178569401)"
[100   2],270,100,2,270,14.399999999999999,3.821174457418792,4.5740298978115845,1759.8984995746107,3065.0412583926286,0.03302045783781196,3.6,3.0926371447951833,384.3693239603536,"ScoreBreakdown(accel=99.98691971511879, skidpad=75.0, autocross=16.038116894853097, endurance=96.50308210013846, efficiency=96.84120525024325)"
