pack_combo,mass,series,parallel,mass_kg,batt_mass,accel_time,skidpad_time,endur_time,energy_wh,final_soc,pack_energy_kwh,final_energy_kwh,total_points,score_breakdown
[100   2],200,100,2,200,14.399999999999999,3.6263688434969197,4.496213348185748,1882.2321842959109,1829.0420294815824,0.47311468438438803,4.2,1.843806663378472,425.6953571791088,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=6.5, endurance=55.748070937987535, efficiency=188.44728624112125)"
[100   2],205,100,2,205,14.399999999999999,3.6441452916822072,4.376067036852291,1885.622741679383,1822.5721926922463,0.47449995932867667,4.2,1.8367711501782422,425.0830609651806,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=6.5, endurance=54.69383243851246, efficiency=188.88922852666812)"
[100   2],210,100,2,210,14.399999999999999,3.6511095024580413,4.4288669578696584,1886.6188119012775,1815.9455484824925,0.4762140600017451,4.2,1.8297883322198107,425.5652792507634,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=6.5, endurance=54.384840773590334, efficiency=189.68043847717306)"
[100   2],215,100,2,215,14.399999999999999,3.637075262504169,4.481046804910079,1900.637885881922,1808.917378863765,0.47784223199175263,4.2,1.8229608061584697,420.355286828236,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=6.5, endurance=50.07032997102323, efficiency=188.7849568572128)"
[100   2],220,100,2,220,14.399999999999999,3.6619219016776015,4.532621511412529,1909.1815221854426,1808.7415116807724,0.4777039835238995,4.2,1.8233029052015977,416.64687277894365,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=6.5, endurance=47.47201423377976, efficiency=187.6748585451639)"
[100   2],225,100,2,225,14.399999999999999,3.6815379399303936,4.422192708426152,1910.0535970748724,1807.142792755055,0.47781757278073034,4.2,1.8209768424703183,416.49092853097113,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=6.5, endurance=47.20810366614787, efficiency=187.78282486482328)"
[100   2],230,100,2,230,14.399999999999999,3.692103880388501,4.470852429020283,1910.792279993333,1808.8027351484322,0.4772284810629797,4.2,1.8222180874626024,415.9382691923517,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=6.5, endurance=46.98474911817165, efficiency=187.45352007418006)"
[100   2],235,100,2,235,14.399999999999999,3.680992183321891,4.518984356243578,1922.9751647963294,1809.6865392163406,0.4766956289682312,4.2,1.8232171173727785,410.5589914692315,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=6.5, endurance=43.32577986587104, efficiency=185.7332116033605)"
[100   2],240,100,2,240,14.399999999999999,3.707720844568186,4.56660959939957,1933.2088277935775,1807.8675867553038,0.4770035867306498,4.2,1.8213943638900565,406.445745030234,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=6.5, endurance=40.2878730951801, efficiency=184.65787193505386)"
[100   2],245,100,2,245,14.399999999999999,3.7300323602843406,4.464215027810155,1934.370140619987,1807.0362758235522,0.4766413858055992,4.2,1.8211076927681435,406.06796826989466,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=6.5, endurance=39.94516319615786, efficiency=184.62280507373677)"
