pack_combo,mass,series,parallel,mass_kg,batt_mass,accel_time,skidpad_time,endur_time,energy_wh,final_soc,pack_energy_kwh,final_energy_kwh,total_points,score_breakdown
[100   2],200,100,2,200,14.399999999999999,3.6263688434969197,4.496213348185748,1688.395151362956,3046.211204742314,0.03848778159654914,3.6,3.0800255710185955,430.379602187886,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=27.594192678969566, endurance=123.05894615910984, efficiency=104.72646334980666)"
[100   2],205,100,2,205,14.399999999999999,3.6441452916822072,4.376067036852291,1691.2682457037952,3050.917474769235,0.03668858538322818,3.6,3.084322188646484,428.237137230224,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=27.11101260541196, endurance=121.9485982703364, efficiency=104.17752635447559)"
[100   2],210,100,2,210,14.399999999999999,3.6511095024580413,4.4288669578696584,1684.174736409572,3058.354310757988,0.03419969612241829,3.6,3.0910547219860627,432.48035086342867,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=28.306946621886116, endurance=124.69685483755605, efficiency=104.47654940398648)"
[100   2],215,100,2,215,14.399999999999999,3.637075262504169,4.481046804910079,1693.9965893772028,3059.8902059316133,0.033526249387039776,3.6,3.092453026681111,425.9621965198433,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=26.653693054298483, endurance=120.89767786640707, efficiency=103.41082559913774)"
[100   2],220,100,2,220,14.399999999999999,3.6619219016776015,4.532621511412529,1704.4223807913847,3060.2250281733322,0.03367413311080674,3.6,3.0926915510844557,419.1962535077108,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=24.919629573876524, endurance=116.91279970222918, efficiency=102.36382423160515)"
[100   2],225,100,2,225,14.399999999999999,3.6815379399303936,4.422192708426152,1709.111075936398,3059.999822648588,0.03370696348162105,3.6,3.0918744844290056,416.2008452160893,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=24.14668171350861, endurance=115.13656539154599, efficiency=101.91759811103475)"
[100   2],230,100,2,230,14.399999999999999,3.692103880388501,4.470852429020283,1702.6000399501268,3067.8143232738735,0.031123860192786817,3.6,3.0989217225662253,419.95581522971065,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=25.22119771636658, endurance=117.60580334343837, efficiency=102.12881416990568)"
[100   2],235,100,2,235,14.399999999999999,3.680992183321891,4.518984356243578,1712.7797377172358,3071.132456611264,0.030055297525430322,3.6,3.1020195510305215,413.2560348244646,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=23.544840963246457, endurance=113.75353524812317, efficiency=100.957658613095)"
[100   2],240,100,2,240,14.399999999999999,3.707720844568186,4.56660959939957,1722.586674919622,3070.947700056626,0.030279988601017348,3.6,3.1011017640689604,407.05808751583913,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=21.948607120107837, endurance=110.08538961316809, efficiency=100.02409078256318)"
[100   2],245,100,2,245,14.399999999999999,3.7300323602843406,4.464215027810155,1728.3989104934815,3066.7097795145905,0.0314586208401795,3.6,3.097140464086814,403.6390734754493,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=21.01112312737009, endurance=107.93105124314594, efficiency=99.69689910493327)"
