k,s1_max,s1_kp,s1_ki,s1_0,ok,elapsed,lap_time,final_soc,max_temp,final_s1,final_s2,avg_kw
150.0,22.757631120839722,10.0,0.5,1.0,True,4.725027084350586,1539.4674227232472,0.027375824922523273,64.59899267627304,8.075915207342735,1.0,15.501964088108341
150.0,22.757631120839722,10.0,0.5,3.0,True,4.65398907661438,1529.8024006108153,0.025492734913174945,66.63468850088147,3.0,1.0,15.51739209796394
150.0,22.757631120839722,10.0,2.0,1.0,True,4.974491357803345,1541.7308740889519,0.03595245088006753,63.97308097211409,1.0,1.0,15.343767047892047
150.0,22.757631120839722,10.0,2.0,3.0,True,4.862980365753174,1529.8105622777882,0.02553066413319864,66.63438633545483,3.0,1.0,15.517149983201643
150.0,22.757631120839722,30.0,0.5,1.0,True,4.76481556892395,1538.5491369967813,0.02712998436361688,64.68485948293383,6.92956482687295,1.0,15.508424646263029
150.0,22.757631120839722,30.0,0.5,3.0,True,4.881101608276367,1529.801818270525,0.025516510629515585,66.63415501483726,3.0,1.0,15.517228334319888
150.0,22.757631120839722,30.0,2.0,1.0,True,4.9126856327056885,1540.9601230275655,0.035220506153079374,64.0233754179237,1.0,1.0,15.365126661711423
150.0,22.757631120839722,30.0,2.0,3.0,True,4.780292272567749,1529.807406823877,0.025534975593448275,66.63412063826691,3.0,1.0,15.51688330934219
150.0,22.757631120839722,60.0,0.5,1.0,True,4.764533996582031,1537.5976177444868,0.026924826942785966,64.73805513304212,5.38453926323924,1.0,15.51662003408139
150.0,22.757631120839722,60.0,0.5,3.0,True,4.76427960395813,1529.8691838895486,0.02566305236091258,66.63432865976843,3.0,1.0,15.51442267898985
150.0,22.757631120839722,60.0,2.0,1.0,True,4.75365138053894,1539.9625753448486,0.03411026217112981,64.05820978743166,1.0,1.0,15.390302292044447
150.0,22.757631120839722,60.0,2.0,3.0,True,4.747983455657959,1529.804434589767,0.02556884124100742,66.63350421324114,3.0,1.0,15.51685418122425
200.0,30.34350816111963,10.0,0.5,1.0,True,4.748353004455566,1539.2585997617064,0.02284217254427644,64.86684010021837,12.396223920686241,1.0,15.561508442256262
200.0,30.34350816111963,10.0,0.5,3.0,True,4.77359938621521,1537.3031602505698,0.023047215489250702,65.71145861066535,10.780684259481918,1.0,15.412917187839607
200.0,30.34350816111963,10.0,2.0,1.0,True,4.776987314224243,1540.8215419465785,0.03465588894829323,64.79959169308363,6.045988217323253,1.0,15.402759119542619
200.0,30.34350816111963,10.0,2.0,3.0,True,4.7487335205078125,1541.468041939853,0.03476433548013446,64.20322333046005,4.252348621577871,1.0,15.28223632447268
200.0,30.34350816111963,30.0,0.5,1.0,True,4.7121031284332275,1538.3389637964406,0.023185663912902207,64.88597898162,10.841807802076168,1.0,15.565952068334797
200.0,30.34350816111963,30.0,0.5,3.0,True,4.755870819091797,1536.9390742262622,0.02367849402542106,65.60548777003977,9.462511038194144,1.0,15.4183020167951
