s2_kp,s2_ki,s2_0,ok,elapsed,lap_time,final_soc,max_temp,final_s1,final_s2,avg_kw
0.05,0.002,1.0,True,4.738120079040527,1553.8213024221147,0.24127314446351103,38.52571101738826,3.0,6.098610370565214,12.92354179084717
0.05,0.002,3.0,True,4.7043116092681885,1558.6156549412588,0.2711099091824267,38.50280482945996,3.0,5.7977600969481395,12.49323969531152
0.05,0.01,1.0,True,4.877640962600708,1574.2417962465202,0.3060459453111694,41.006251698913864,3.0,4.662162883346621,11.84704570453318
0.05,0.01,3.0,True,4.812306880950928,1572.416183724863,0.30817915601173973,40.88191582107893,3.0,4.610343936573143,11.840617097210966
0.05,0.05,1.0,True,4.801058292388916,1585.9979983971123,0.3315476146166646,40.03126129968908,3.0,3.4569877447503554,11.39032512126912
0.05,0.05,3.0,True,4.865273714065552,1581.1888493498109,0.32616794556047174,40.057042707134734,3.0,3.635901391879851,11.511570363586356
0.2,0.002,1.0,True,4.810243129730225,1552.6378882197218,0.24000715285966995,38.998637129104225,3.0,5.71633528864517,12.959341423165213
0.2,0.002,3.0,True,4.81089186668396,1558.086260225533,0.2701423631088154,38.83520117599087,3.0,5.5079160077768154,12.516046295389964
0.2,0.01,1.0,True,4.8167266845703125,1573.0271228074598,0.30556428370451144,40.78358346994654,3.0,4.479550636626852,11.864791070157299
0.2,0.01,3.0,True,4.926473140716553,1571.8704426590277,0.3084638945612472,40.70071101018646,3.0,4.442323740386623,11.84463450111857
0.2,0.05,1.0,True,4.830624580383301,1584.6931198336947,0.32983160775509657,40.06649724100938,3.0,3.675004767738823,11.427668181735923
0.2,0.05,3.0,True,4.815165281295776,1580.391670536601,0.32515412800877824,40.093797026030245,3.0,3.801554348564287,11.53395361932107
1.0,0.002,1.0,True,4.773551940917969,1552.3098742027198,0.24476248287343044,40.05282983635402,3.0,4.770714678722377,12.909934050031659
1.0,0.002,3.0,True,4.812229633331299,1558.1301419350932,0.27110300535130444,39.69056200497895,3.0,4.730411325211376,12.505117071995768
1.0,0.01,1.0,True,4.873416423797607,1569.5140497643415,0.30315606113510213,40.21878836924212,3.0,4.096777205452479,11.9565317290354
1.0,0.01,3.0,True,4.746401309967041,1570.0733228957802,0.30816653128559246,40.21089661505224,3.0,4.0638839866382686,11.887729867531267
1.0,0.05,1.0,True,4.829771041870117,1580.2018163693283,0.32417665495253056,40.144689795784075,3.0,3.9489115437769295,11.56229591601322
1.0,0.05,3.0,True,4.905092477798462,1577.6472962335724,0.3218042885284764,40.1514470747529,3.0,3.978750995105692,11.624082758046228
