SOC,pulse_label,I_pulse_A,R0_mohm,OCV_V,R1_mohm,C1_F,R2_mohm,C2_F,tau1_s,tau2_s,rmse_mV,rc2_fraction,fit_ok
100,single,5.0,11.736600000000053,4.15472,2.2746087186804242,1226.4848515890474,4.881334726730547,3560.5001220257113,2.7897731367539134,17.379992890172453,0.2712392630443523,0.6821371303403598,True
90,single,5.0,10.76479999999993,4.075278,2.0923850455480077,1441.0919419013912,5.691641472504208,3916.5858887426366,3.015319228494209,22.29180267499234,0.3453949785986685,0.7311950260324163,True
80,single,5.0,10.330800000000107,4.009337,1.868477528118112,1550.0007305356191,5.024955987270446,4089.5024590380585,2.8961415335724614,20.549569866500505,0.34582398095923383,0.7289482049914581,True
70,single,5.0,10.580299999999987,3.8828665,1.6531337789487335,1750.1703351789852,4.471832639812087,4344.850680199134,2.893265699998407,19.429445086824238,0.28034562144870234,0.7300991277462076,True
60,single,5.0,10.709199999999974,3.799254,1.7490657284994566,1652.0393775215448,4.524677357808727,4626.460597258518,2.8895254573545097,20.933241511209857,0.3167882042956086,0.7212085824303808,True
50,single,5.0,10.424900000000026,3.6578255,1.5364781417433224,1619.9501633142982,3.893600341780743,4141.094634468849,2.4890180166459444,16.123767484114314,0.24575638656743384,0.7170431060241023,True
40,single,5.0,10.289000000000037,3.511232,2.3781733740369995,1355.733473302613,8.156418647107913,4414.111722260622,3.224169248498976,36.00334316186416,0.721511921998721,0.774251022795799,True
30,single,5.0,10.580199999999973,3.357977,3.394086014560367,1114.2170418028247,12.077358511214667,3773.1350972064706,3.781748478767791,45.56950528020935,1.0705426253454149,0.780622552153685,True
20,single,5.0,11.432999999999982,3.19223,6.2374540834448275,854.7101466191363,18.679148448282664,2672.247456259012,5.331215294191258,49.915306926007815,1.155040988728941,0.7496667502922045,True
10,single,5.0,11.76440000000003,2.988424,20.47007436526354,329.05815534707546,22.555370174138524,2188.5127023012283,6.7358449104510765,49.36271413120843,1.3314032165208907,0.5242332860380478,True
