SOC,pulse_label,I_pulse_A,R0_mohm,OCV_V,R1_mohm,C1_F,R2_mohm,C2_F,tau1_s,tau2_s,rmse_mV,rc2_fraction,OCV slope,fit_ok
100,30A,30.0,10.255700000000015,4.144217,2.2144619750706873,2257.6507506988773,1.4034191382994097,21555.39761354244,4.999481740412456,30.251257544498877,0.8156430858139964,0.3879119004527235,0.6531,True
90,30A,30.0,9.223133333333333,4.078912,2.3781357510340664,2492.789878985776,1.4952296014490114,31069.214745283687,5.928192731031958,46.455609580924275,0.8048937951611619,0.3860285476273165,0.6926,True
80,30A,30.0,8.89213333333334,4.0057,2.2455219348346875,2693.378393633791,1.076541913053193,34308.991586200005,6.048040261714492,36.93506743713366,0.6897488201776321,0.3240581645466094,1.0060,True
70,30A,30.0,9.021300000000004,3.877707,1.9670101865455762,2838.1674011430723,1.1836244940801215,29833.00450140133,5.582704189170008,35.31107485986114,0.6394873281927802,0.37567811379676064,1.0654,True
60,30A,30.0,8.953666666666674,3.792619,2.0454959707225635,2689.0649594442557,1.149888926049268,33307.43901309462,5.500471539554459,38.299855276218864,0.6700369808314388,0.35985928556242297,1.1901,True
50,30A,30.0,8.689533333333326,3.639693,2.22802862104475,2416.290512782655,1.1323077778796447,26306.758232186425,5.38356441923865,29.787346957104063,0.6513653729488705,0.33696262619483086,1.4838,True
40,30A,30.0,8.55013333333332,3.495859,3.0132647233077083,2118.4140375369784,2.555840307001113,20924.14221327312,6.383342288670029,53.47876605810691,0.9365918310765058,0.4589319635904559,1.5165,True
30,30A,30.0,8.999816666666657,3.3363875,4.358286392882196,1518.9598379039535,3.539281690387286,15688.57134855774,6.620061992871347,55.52627332228498,1.4398508348677794,0.4481482974341227,1.5181,True
20,single,5.0,11.432999999999982,3.19223,6.2374540834448275,854.7101466191363,18.679148448282664,2672.247456259012,5.331215294191258,49.915306926007815,1.155040988728941,0.7496667502922045,1.7398,True
10,single,5.0,11.76440000000003,2.988424,20.47007436526354,329.05815534707546,22.555370174138524,2188.5127023012283,6.7358449104510765,49.36271413120843,1.3314032165208907,0.5242332860380478,2.0381,True
